         849118 function calls (847173 primitive calls) in 215.035 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexers.py:439(check_array_indexer)
       45    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/construction.py:673(_try_cast)
       68    0.000    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:3317(get_loc)
      684    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       38    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/ops/array_ops.py:138(_na_arithmetic_op)
       49    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/common.py:190(is_sparse)
      235    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       26    0.000    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/array_algos/take.py:111(_take_nd_ndarray)
    83/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       49    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1885(get_block_type)
      851    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_scalar}
      477    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       26    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/array_algos/take.py:517(_take_preprocess_indexer_and_fill_value)
       26    0.000    0.000    0.005    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:840(take)
       26    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:950(take)
       12    0.000    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:5516(_arith_method)
       46    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:70(_wrapreduction)
       48    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:901(__contains__)
     1116    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_integer}
       30    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
      819    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_float}
