         910295 function calls (908100 primitive calls) in 3.142 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      245    0.001    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/storage.py:840(__getitem__)
      601    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/construction.py:431(ensure_wrapped_if_datetimelike)
      555    0.001    0.000    0.001    0.000 /usr/lib/python3.8/uuid.py:327(hex)
       54    0.001    0.000    0.010    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/construction.py:463(sanitize_array)
      512    0.001    0.000    0.001    0.000 {built-in method posix.getpid}
     1289    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:794(__len__)
      508    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:528(_set_axis)
      455    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:761(_is_nested_tuple_indexer)
     1465    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:674(_values)
      260    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:105(__init__)
      512    0.000    0.000    0.001    0.000 /usr/lib/python3.8/threading.py:1306(current_thread)
      910    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:2459(is_label_like)
       88    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:5435(__finalize__)
     2720    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:301(<genexpr>)
        5    0.000    0.000    0.012    0.002 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/metadata.py:35(param_groups_by_id)
      331    0.000    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      464    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/blocks.py:349(iget)
      622    0.000    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/construction.py:369(extract_array)
      999    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/common.py:155(cast_scalar_indexer)
     2720    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:299(<genexpr>)
      531    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     1465    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:1674(internal_values)
       72    0.000    0.000    0.012    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/frame.py:3418(__getitem__)
     1462    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/inference.py:184(is_array_like)
    84/22    0.000    0.000    0.001    0.000 /usr/lib/python3.8/sre_parse.py:174(getwidth)
     1360    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      451    0.000    0.000    0.001    0.000 /usr/lib/python3.8/sre_parse.py:164(__getitem__)
      596    0.000    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1718(validate_all_hashable)
     1365    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:920(<genexpr>)
     1365    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:767(<genexpr>)
       32    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexers.py:249(maybe_convert_indices)
     1468    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:542(_get_axis_number)
     1192    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1737(<genexpr>)
       32    0.000    0.000    0.007    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:5492(_cmp_method)
     1317    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:276(chunk_store)
      164    0.000    0.000    0.012    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/metadata.py:26(param_group)
